,u,i,ts,label,idx
363,9,4,1598187291760.0,0,363
364,4,5,1598187293680.0,0,364
365,5,8,1598187296680.0,0,365
366,12,22,1598187299400.0,interception,366
367,8,7,1598187303320.0,0,367
368,7,1,1598187306320.0,0,368
369,16,23,1598187307680.0,clearence,369
370,9,3,1598187309560.0,0,370
371,3,8,1598187312960.0,0,371
372,0,2,1598187317320.0,0,372
373,19,23,1598187319520.0,clearence,373
374,15,14,1598187321400.0,0,374
375,14,23,1598187322640.0,clearence,375
376,2,22,1598187324000.0,interception,376
377,21,21,1598187340120.0,0,377
378,18,15,1598187343280.0,0,378
379,15,19,1598187344520.0,0,379
380,19,14,1598187346800.0,0,380
381,19,22,1598187354960.0,dribble,381
382,9,19,1598187355440.0,tackle,382
383,9,4,1598187376960.0,0,383
384,1,7,1598187377880.0,0,384
385,7,0,1598187381680.0,0,385
386,0,7,1598187383840.0,0,386
387,7,5,1598187387280.0,0,387
388,5,3,1598187393040.0,0,388
389,3,6,1598187396080.0,0,389
390,6,3,1598187400120.0,0,390
391,3,6,1598187403600.0,0,391
392,6,3,1598187408400.0,0,392
393,3,3,1598187409880.0,0,393
394,6,3,1598187413640.0,0,394
395,3,1,1598187415360.0,0,395
396,17,23,1598187416640.0,clearence,396
397,13,15,1598187418160.0,0,397
398,15,11,1598187420160.0,0,398
399,11,11,1598187422160.0,0,399
400,12,13,1598187424880.0,0,400
401,3,9,1598187443040.0,0,401
402,9,5,1598187443640.0,0,402
403,5,7,1598187446160.0,0,403
404,7,4,1598187452680.0,0,404
405,4,7,1598187457440.0,0,405
406,7,8,1598187461040.0,0,406
407,8,7,1598187464560.0,0,407
408,7,4,1598187466600.0,0,408
409,4,9,1598187468560.0,0,409
410,9,4,1598187468880.0,0,410
411,4,3,1598187471240.0,0,411
412,3,2,1598187475480.0,0,412
413,21,21,1598187495840.0,0,413
414,18,16,1598187501960.0,0,414
415,16,10,1598187503880.0,0,415
416,10,16,1598187510720.0,0,416
417,16,16,1598187512800.0,0,417
418,17,18,1598187513600.0,0,418
419,16,18,1598187518560.0,0,419
420,21,21,1598187522680.0,0,420
421,16,11,1598187526960.0,0,421
422,11,15,1598187528880.0,0,422
423,6,15,1598187530760.0,tackle,423
424,13,15,1598187532760.0,0,424
425,15,11,1598187533600.0,0,425
426,11,13,1598187534480.0,0,426
427,13,10,1598187537200.0,0,427
428,10,10,1598187537920.0,0,428
429,8,22,1598187538360.0,interception,429
430,12,1,1598187543840.0,tackle,430
431,17,16,1598187544880.0,0,431
432,8,1,1598187548200.0,0,432
433,0,5,1598187610960.0,0,433
434,14,23,1598187612040.0,clearence,434
435,9,2,1598187616240.0,0,435
436,21,21,1598187646360.0,0,436
437,7,8,1598187648800.0,0,437
438,8,5,1598187652240.0,0,438
439,20,20,1598187656280.0,0,439
440,5,8,1598187664000.0,0,440
441,8,9,1598187667320.0,0,441
442,9,8,1598187671080.0,0,442
443,8,7,1598187674840.0,0,443
444,9,9,1598187676720.0,0,444
445,8,7,1598187677320.0,0,445
446,7,3,1598187682040.0,0,446
447,3,5,1598187689120.0,0,447
448,6,24,1598187695520.0,shot,448
449,0,5,1598187727200.0,0,449
450,11,23,1598187728720.0,clearence,450
451,4,8,1598187730440.0,0,451
452,8,1,1598187732960.0,0,452
453,0,24,1598187736680.0,shot,453
454,17,23,1598187738480.0,clearence,454
455,8,1,1598187740640.0,0,455
456,22,23,1598187743480.0,ball out,456
457,22,23,1598187743480.0,ball out,457
458,8,1,1598187757600.0,0,458
459,21,21,1598187783800.0,0,459
460,8,9,1598187788600.0,0,460
461,9,2,1598187791880.0,0,461
462,2,1,1598187794400.0,0,462
463,10,11,1598187795840.0,0,463
464,4,22,1598187798960.0,dribble,464
465,11,4,1598187799040.0,tackle,465
466,4,3,1598187803040.0,0,466
467,5,0,1598187806000.0,0,467
468,0,3,1598187811920.0,0,468
469,3,5,1598187816640.0,0,469
470,1,2,1598187862360.0,0,470
471,0,24,1598187863400.0,shot,471
472,22,23,1598187864440.0,ball out,472
473,22,23,1598187864440.0,ball out,473
474,21,21,1598187878840.0,0,474
475,18,13,1598187882240.0,0,475
476,13,12,1598187884960.0,0,476
477,8,5,1598187889600.0,0,477
478,7,5,1598187892000.0,0,478
479,5,3,1598187894600.0,0,479
480,3,1,1598187897600.0,0,480
481,14,15,1598187901160.0,0,481
482,6,6,1598187903840.0,0,482
483,14,1,1598187904800.0,tackle,483
484,14,11,1598187906840.0,0,484
485,15,22,1598187910320.0,dribble,485
486,5,11,1598187911000.0,tackle,486
487,15,22,1598187911480.0,dribble,487
488,4,15,1598187912800.0,tackle,488
489,22,23,1598187914000.0,ball out,489
490,22,23,1598187914000.0,ball out,490
491,14,15,1598187942080.0,0,491
492,13,22,1598187946280.0,dribble,492
493,5,13,1598187946400.0,tackle,493
494,15,11,1598187976080.0,0,494
495,2,23,1598187977120.0,clearence,495
496,14,19,1598188034200.0,0,496
497,19,14,1598188035080.0,0,497
498,14,14,1598188037720.0,0,498
499,1,23,1598188037840.0,clearence,499
500,22,23,1598188038040.0,ball out,500
501,22,23,1598188038040.0,ball out,501
502,14,13,1598188044400.0,0,502
503,6,1,1598188051960.0,0,503
504,14,13,1598188053520.0,0,504
505,13,22,1598188056000.0,dribble,505
506,3,13,1598188056680.0,tackle,506
507,10,11,1598188092720.0,0,507
508,18,24,1598188094120.0,shot,508
509,7,0,1598188099480.0,0,509
510,16,14,1598188105640.0,0,510
511,21,21,1598188110880.0,0,511
512,16,11,1598188118520.0,0,512
513,11,15,1598188122080.0,0,513
514,15,14,1598188125520.0,0,514
515,14,15,1598188128200.0,0,515
516,15,19,1598188129920.0,0,516
517,19,18,1598188131480.0,0,517
518,18,16,1598188135080.0,0,518
519,21,21,1598188138720.0,0,519
520,16,18,1598188141360.0,0,520
521,18,15,1598188145800.0,0,521
522,15,12,1598188149480.0,0,522
523,20,20,1598188161200.0,0,523
524,7,5,1598188164600.0,0,524
525,20,20,1598188167600.0,0,525
526,5,7,1598188173560.0,0,526
527,7,7,1598188180720.0,0,527
528,20,20,1598188183280.0,0,528
529,7,7,1598188187440.0,0,529
530,20,20,1598188190240.0,0,530
531,5,3,1598188193280.0,0,531
532,9,3,1598188196720.0,0,532
533,22,23,1598188201320.0,ball out,533
534,22,23,1598188201320.0,ball out,534
535,14,13,1598188217200.0,0,535
536,10,13,1598188291280.0,0,536
537,20,20,1598188305360.0,0,537
538,5,4,1598188311600.0,0,538
539,20,20,1598188314600.0,0,539
540,18,10,1598188323880.0,0,540
541,17,12,1598188325800.0,0,541
542,4,1,1598188331800.0,0,542
543,8,9,1598188336480.0,0,543
544,9,1,1598188338680.0,0,544
545,14,23,1598188340360.0,clearence,545
546,0,3,1598188343360.0,0,546
547,3,1,1598188346080.0,0,547
548,18,23,1598188347200.0,clearence,548
549,0,6,1598188351920.0,0,549
550,6,4,1598188354160.0,0,550
551,4,7,1598188357400.0,0,551
552,7,8,1598188359880.0,0,552
553,8,1,1598188362400.0,0,553
554,1,8,1598188364880.0,0,554
555,8,7,1598188367440.0,0,555
556,7,6,1598188370480.0,0,556
557,19,11,1598188373440.0,0,557
558,11,11,1598188375680.0,0,558
559,6,19,1598188376200.0,tackle,559
560,10,11,1598188377680.0,0,560
561,16,18,1598188418480.0,0,561
562,18,11,1598188424480.0,0,562
563,11,15,1598188427440.0,0,563
564,15,12,1598188430960.0,0,564
565,5,23,1598188431440.0,clearence,565
566,17,11,1598188434680.0,0,566
567,8,1,1598188436160.0,0,567
568,19,10,1598188438400.0,0,568
569,10,16,1598188442080.0,0,569
570,10,12,1598188457360.0,0,570
571,18,11,1598188460920.0,0,571
572,20,20,1598188471680.0,0,572
573,5,7,1598188473280.0,0,573
574,20,20,1598188475560.0,0,574
575,7,8,1598188481920.0,0,575
576,8,1,1598188482800.0,0,576
577,4,9,1598188503040.0,0,577
578,9,7,1598188503440.0,0,578
579,7,5,1598188506000.0,0,579
580,11,16,1598189400000.0,0,580
581,19,15,1598189402040.0,0,581
582,3,3,1598189403880.0,0,582
583,22,23,1598189406360.0,ball out,583
584,14,17,1598189419520.0,0,584
585,9,22,1598189422640.0,dribble,585
586,17,9,1598189422720.0,tackle,586
587,19,16,1598189424320.0,0,587
588,16,16,1598189426320.0,0,588
589,21,21,1598189428960.0,0,589
590,19,16,1598189453840.0,0,590
591,16,12,1598189456600.0,0,591
592,12,15,1598189462080.0,0,592
593,15,22,1598189466640.0,dribble,593
594,3,15,1598189466800.0,tackle,594
595,3,6,1598189471280.0,0,595
596,9,6,1598189474160.0,0,596
597,4,5,1598189475040.0,0,597
598,5,7,1598189477880.0,0,598
599,7,5,1598189482520.0,0,599
600,5,3,1598189487440.0,0,600
601,14,18,1598189516040.0,0,601
602,18,16,1598189519640.0,0,602
603,21,21,1598189521240.0,0,603
604,5,6,1598189525280.0,0,604
605,15,13,1598189527560.0,0,605
606,3,7,1598189528960.0,0,606
607,7,8,1598189533600.0,0,607
608,8,8,1598189535720.0,0,608
609,7,5,1598189540120.0,0,609
610,5,9,1598189546920.0,0,610
611,12,22,1598189548360.0,interception,611
612,6,22,1598189549600.0,interception,612
613,12,22,1598189551000.0,dribble,613
614,12,22,1598189553440.0,dribble,614
615,6,12,1598189553480.0,tackle,615
616,8,9,1598189559760.0,0,616
617,9,7,1598189564200.0,0,617
618,7,3,1598189567400.0,0,618
619,3,5,1598189573240.0,0,619
620,5,7,1598189577240.0,0,620
621,7,7,1598189579600.0,0,621
622,20,20,1598189582800.0,0,622
623,5,6,1598189587320.0,0,623
624,15,13,1598189589160.0,0,624
625,13,13,1598189590720.0,0,625
626,6,22,1598189591280.0,interception,626
627,22,23,1598189593880.0,ball out,627
628,13,15,1598189598280.0,0,628
629,15,15,1598189602080.0,0,629
630,14,19,1598189603800.0,0,630
631,17,10,1598189605920.0,0,631
632,10,10,1598189611280.0,0,632
633,12,16,1598189613960.0,0,633
634,16,17,1598189615920.0,0,634
635,17,11,1598189618000.0,0,635
636,12,22,1598189619640.0,dribble,636
637,15,24,1598189772240.0,shot,637
638,16,13,1598189777040.0,0,638
639,20,20,1598189793640.0,0,639
640,5,5,1598189795840.0,0,640
641,20,20,1598189798600.0,0,641
642,17,10,1598189806520.0,0,642
643,9,0,1598189814280.0,0,643
644,0,24,1598189817200.0,shot,644
645,22,23,1598189817720.0,ball out,645
646,22,23,1598189817720.0,ball out,646
647,21,21,1598189845280.0,0,647
648,12,13,1598189848160.0,0,648
649,7,22,1598189849480.0,interception,649
650,8,4,1598189858280.0,0,650
651,4,3,1598189860000.0,0,651
652,3,6,1598189867880.0,0,652
653,6,24,1598189870040.0,shot,653
654,6,22,1598189873200.0,dribble,654
655,14,6,1598189873400.0,tackle,655
656,17,11,1598189875560.0,0,656
